"관리기관명","소재지도로명주소","소재지지번주소","설치목적구분","카메라대수","카메라화소수","촬영방면정보","보관일수","설치년월","관리기관전화번호","위도","경도","데이터기준일자","제공기관코드","제공기관명"
"부산광역시 연제구청","부산광역시 연제구 월드컵대로20번길 27","부산광역시 연제구 연산동 671-53","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.176581","129.087278","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 연수로171번길 16","부산광역시 연제구 연산6동 1876-112","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.174735","129.088823","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 과정로283번나길 20","부산광역시 연제구 연산동 372-22","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.186616","129.097347","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 과정로260번길 4","부산광역시 연제구 연산동 360-29","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.188414","129.099107","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 온천천남로 164","부산광역시 연제구 연산동 459-17","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.189915","129.108311","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 과정로237번길 105","부산광역시 연제구 연산동 417-19","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.184949","129.106467","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 토곡남로 3","부산광역시 연제구 연산동 57-1","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.181411","129.106572","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 과정로191번다길 63","부산광역시 연제구 연산동 413-8","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.187031","129.103288","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 중앙대로1235번길 23-6","부산광역시 연제구 거제동 96","다목적","1","200","360도전방면","30","2014-01","051-665-5551","35.197132","129.077696","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 중앙대로1235번길 23-6","부산광역시 연제구 거제동 96","다목적","2","200","90도 정면","30","2020-06","051-665-5551","35.197132","129.077696","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 해맞이로89번길 31","부산광역시 연제구 거제동 649-58","다목적","1","200","360도전방면","30","2008-06","051-665-5551","35.181795","129.067601","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 해맞이로61번길 23","부산광역시 연제구 거제동 676-89","다목적","1","200","360도전방면","30","2008-06","051-665-5551","35.179675","129.066864","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 고분로143번길 33","부산광역시 연제구 연산8동 379-7","다목적","1","200","360도전방면","30","2008-06","051-665-5551","35.186606","129.099579","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 과정로225번길 14","부산광역시 연제구 연산동 406-2","다목적","1","200","360도전방면","30","2008-06","051-665-5551","35.187189","129.102299","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 온천천남로160번길 24","부산광역시 연제구 연산9동 463-13","다목적","1","200","360도전방면","30","2008-06","051-665-5551","35.189013","129.107838","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 토곡남로 32","부산광역시 연제구 연산9동 22-64","다목적","1","200","360도전방면","30","2008-06","051-665-5551","35.180748","129.104131","2020-07-08","3370000","-"
"부산광역시 사상구청","부산광역시 사상구 백양대로 768번길 29-20","부산광역시 사상구 덕포동 772-14","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.176229","128.990431","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 모라동75-5","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.182421","129.002146","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 사상로456번길 12","부산광역시 사상구 모라동 707-19","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.185232","128.987552","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 새벽로 64","부산광역시 사상구 학장동 227-10","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.146898","128.981082","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 백양대로979번길 31","부산광역시 사상구 모라동 1332-15","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.193713","128.991198","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 낙동대로 1348번길 45","부산광역시 사상구 삼락동 388-18","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.1802698374","128.9786714709","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 삼덕로 21","부산광역시 사상구 삼락동402-7","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.174164","128.979397","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 모라로 61","부산광역시 사상구 모라1동653-29","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.188713","128.9879476904","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 주감로 11-1","부산광역시 사상구 감전동111-53","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.158138","128.990297","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 모라로 16","부산광역시 사상구 삼락동74-12","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.191588","128.9841600532","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 대동로 303","부산광역시 사상구 감전동 132-7","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.154046","128.986601","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 낙동대로882번길 40","부산광역시 사상구 감전동506-37","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.139536","128.973021","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 사상로469번길 35","부산광역시 사상구 모라동686-1","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.186914","128.984855","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 엄궁동 680-4","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.1234612363","128.975442","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 덕포동 136","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.1703677235","128.986824","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 괘법동 523-12","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.167051","128.982141","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 주례동 71-5","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.150255","129.011556","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 괘법동 570-1","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.162783","128.976597","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 삼락동 393-3","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.178531","128.9788043677","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 감전동 107-5","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.157818","128.987121","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 괘법동 584-11","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.158139","128.985143","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 학장동 167-6","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.135943","128.992851","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 덕포동 779-10","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.173599","128.988718","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 모라동 658-3","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.188224","128.985227","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 감전동 152-2","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.153368","128.982503","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 삼락동 363-1","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.183012","128.979464","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 삼락동 119-6","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.187313","128.9819783859","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 주례동 92-135","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.148539","129.009092","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 덕포동 158-31","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.168945","128.984689","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 주례동 54-238","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.149041","129.014387","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 낙동대로1548번길 28","부산광역시 사상구 삼락동 52-10","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.194833","128.987712","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 모라로192번길 51","부산광역시 사상구 모라3동75-12","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.184589","129.002375","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 가야대로176번길15","부산광역시 사상구 학장동286-23","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.148323","128.991446","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 엄궁동25-110","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.134254","128.976173","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 냉정로82-1","부산광역시 사상구 주례2동92-422","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.149183","129.008839","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 양지로42번길 40","부산광역시 사상구 주례1동303-1","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.155596","129.001672","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 모라로110번길 40-131","부산광역시 사상구 모라1동568-7","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.182617","128.992969","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 모라로 88번길 17","부산광역시 사상구 모라1동945-1","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.185695","128.988952","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 모라로 85-52","부산광역시 사상구 모라1동388-1","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.188528","128.989611","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 낙동대로1210번길 33","부산광역시 사상구 괘법동516-3","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.1679709303","128.980356","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 광장로38번길 29","부산광역시 사상구 괘법동563-21","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.160823","128.980292","2020-02-26","3390000","-"
"부산광역시 연제구청","부산광역시 연제구 과정로283번길 24","부산광역시 연제구 연산동 1032-18","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.187034","129.096301","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 거제천로 255","부산광역시 연제구 거제동 1464-3","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.192812","129.085061","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 금련로38번가길 26","부산광역시 연제구 연산동 1824-62","다목적","1","200","360도전방면","30","2017-12","051-665-5551","35.170627","129.094144","2020-07-08","3370000","-"
"부산광역시 연제구청","-","부산광역시 연제구 연산동 1816-104","다목적","1","200","360도전방면","30","2017-12","051-665-5551","35.169602","129.094728","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 거제대로286번길 8-2","부산광역시 연제구 거제1동 2-30","다목적","1","200","360도전방면","30","2013-12","051-665-5551","35.190981","129.078445","2020-07-08","3370000","-"
"부산광역시 사상구청","부산광역시 사상구 사상로202번길 12","부산광역시 사상구 괘법동 546-5","다목적","4","200","360도전방면","30","2019-08","051-310-4742","35.163405","128.984935","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 백양대로646번나길 57","부산광역시 사상구 괘법동 123-6","다목적","2","200","360도전방면","30","2019-08","051-310-4742","35.162244","128.989452","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 강변대로532번길 71","부산광역시 사상구 감전동 516","다목적","2","200","360도전방면","30","2019-08","051-310-4742","35.132963","128.969792","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 감전동 41-8","다목적","2","200","360도전방면","30","2019-08","051-310-4742","35.159586","128.993605","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 가야대로 405","부산광역시 사상구 주례동 30-4","다목적","2","200","360도전방면","30","2019-08","051-310-4742","35.151986","129.016675","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 주감로 277","부산광역시 사상구 주례동 49-2","다목적","1","200","360도전방면","30","2019-08","051-310-4742","35.152445","129.016017","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 낙동대로 1498","부산광역시 사상구 삼락동 29-3","다목적","3","200","360도전방면","30","2019-08","051-310-4742","35.192872","128.982328","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 가야대로 366-1","부산광역시 사상구 주례동 60-87","다목적","2","200","360도전방면","30","2019-08","051-310-4742","35.151142","129.012574","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 운산로100번길 10","부산광역시 사상구 괘법동 244-33","다목적","2","200","360도전방면","30","2019-08","051-310-4742","35.167404","128.986572","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 모라로46번길 60-3","부산광역시 사상구 모라동 745-2","다목적","4","200","360도전방면","30","2019-08","051-310-4742","35.187498","128.985944","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 양지로22번길 30","부산광역시 사상구 주례동 310-1","다목적","4","200","360도전방면","30","2019-08","051-310-4742","35.155209","129.004669","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 새벽시장로63번길 20","부산광역시 사상구 감전동 130-4","다목적","3","200","360도전방면","30","2019-08","051-310-4742","35.155982","128.9811747634","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 사상로509번길 16","부산광역시 사상구 모라동 651-29","다목적","4","200","360도전방면","30","2019-08","051-310-4742","35.190147","128.987867","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 농산물시장로 40-7","부산광역시 사상구 엄궁동 613-13","다목적","3","200","360도전방면","30","2019-08","051-310-4742","35.126238","128.966943","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 대동로140번길 60","부산광역시 사상구 학장동 산 138-15","다목적","2","200","360도전방면","30","2019-08","051-310-4742","35.138446","128.983463","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 모라동 1385","다목적","2","200","360도전방면","30","2019-12","051-310-4742","35.1922169","128.9954592","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 괘법동 산 17-5","다목적","2","200","360도전방면","30","2020-02","051-310-4742","35.1639593","128.9913369","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 엄궁동 677-6","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.1256979405","128.976701","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 엄궁동 106","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.127669","128.978326","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 학장동 555-5","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.141201","128.986676","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 학장동727-3","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.144521","128.978199","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 덕포동 35","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.173963","128.992472","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 주례동 1241","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.153963","129.011019","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 주례동 54-134","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.1495246614","129.013906","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 덕포동 776-1","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.174818","128.989382","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 감전동 516","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.132434","128.968527","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 감전동318","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.159594","128.992876","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 모라동 1342","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.190707","128.992731","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 덕포동 257-1","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.179956","128.983286","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 덕포동 389-17","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.176787","128.982498","2020-02-26","3390000","-"
"부산광역시 사상구청","-","부산광역시 사상구 삼락동 816","다목적","5","200","360도전방면","30","2019-07","051-310-4741","35.157877","128.970323","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 사상로310번길 95-17","부산광역시 사상구 덕포동261-30","다목적","2","200","360도전방면","30","2019-01","051-310-4741","35.171321","128.986649","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 대동로131번길 14","부산광역시 사상구 학장동 599-15","다목적","1","200","360도전방면","30","2019-05","051-310-4741","35.140765","128.981652","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 대동로115번길 55","부산광역시 사상구 학장동 599-8","다목적","1","200","360도전방면","30","2019-05","051-310-4741","35.140621","128.981132","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 대동로131번길 6","부산광역시 사상구 학장동 574-43","다목적","1","200","360도전방면","30","2019-05","051-310-4741","35.140413","128.981596","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 덕상로 120","부산광역시 사상구 모라동 1370-2","다목적","1","200","360도전방면","30","2019-08","051-310-4741","35.182235","128.990697","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 백양대로 701-1","부산광역시 사상구 덕포동 96-1","다목적","1","200","360도전방면","30","2019-08","051-310-4741","35.169547","128.988477","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 주례로 223","부산광역시 사상구 학장동 210-2","다목적","1","200","360도전방면","30","2019-08","051-310-4741","35.143854","128.991842","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 가야대로310번길 20","부산광역시 사상구 주례동 519-91","다목적","1","200","360도전방면","30","2019-08","051-310-4741","35.149863","129.006968","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 주감로229번길 14","부산광역시 사상구 주례동 14-3","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.1519896197","129.011575","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 주례로139번길 19","부산광역시 사상구 주례동 548-14","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.1455256981","129.0018267966","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 주례로149번길 16-8","부산광역시 사상구 주례동 617-26","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.1451304625","128.9997852008","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 사상로455번길 12","부산광역시 사상구 모라동 700-14","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.1854621128","128.9860640942","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 사상로137번길 34","부산광역시 사상구 감전동 106-12","다목적","2","200","360도전방면","30","2019-12","051-310-4741","35.1569056083","128.9878275033","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 사상로161번길 45","부산광역시 사상구 감전동 104-40","다목적","2","200","360도전방면","30","2019-12","051-310-4741","35.1580355617","128.9861870717","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 사상로 453","부산광역시 사상구 모라동 708-9","다목적","1","200","360도전방면","30","2019-12","051-310-4741","35.1852129181","128.9865322304","2020-02-26","3390000","-"
"부산광역시 사상구청","부산광역시 사상구 낙동대로776번길 42","부산광역시 사상구 엄궁동51-1","다목적","2","200","360도전방면","30","2019-01","051-310-4741","35.128814","128.973319","2020-02-26","3390000","-"
"부산광역시 연제구청","부산광역시 연제구 과정로278번길 15-1","부산광역시 연제구 연산동 366-40","다목적","1","200","360도전방면","30","2014-01","051-665-5551","35.189041","129.096684","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 연산터널(토곡방향)","부산광역시 연제구 연산1동 952-14","다목적","1","200","360도전방면","30","2013-11","051-665-5551","35.185401","129.090387","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 연산터널(토곡방향)","부산광역시 연제구 연산동 963-3","다목적","1","200","360도전방면","30","2013-11","051-665-5551","35.185783","129.092529","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 아시아드대로108번길 82","부산광역시 연제구 거제1동 203-6","다목적","1","200","360도전방면","30","2014-03","051-665-5551","35.194621","129.071528","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 법원남로15번길 13","부산광역시 연제구 거제동 1494-6","다목적","1","200","360도전방면","30","2014-03","051-665-5551","35.190271","129.073861","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 연산터널(연산교차로방향)","부산광역시 연제구 연산동 965-26","다목적","1","200","360도전방면","30","2014-06","051-665-5551","35.186061","129.092484","2020-07-08","3370000","-"
